"Aplicação do recurso","Especificação do material ou serviço","",""
"Capital"," Carro para pasta suspensa","",""
"Capital"," Carro para recem nascido","",""
"Capital"," Carro para roupa","",""
"Capital"," Carro para transporte","",""
"Capital"," Carro para transporte de alimentos","",""
"Capital"," Carro para transporte de roupa","",""
"Capital"," Carro para transporte de urna mortuaria","",""
"Capital"," Carro para transportes de livros","",""
"Capital"," Carro plataforma","",""
"Capital"," Carroceria","",""
"Capital"," Carroceria bau","",""
"Capital"," Carroceria de madeira","",""
"Capital"," Carrossel","",""
"Capital"," Carrossel para slides","",""
"Capital"," Carteira","",""
"Capital"," Carteira escolar","",""
"Capital"," Carteira infantil","",""
"Capital"," Carteira universitaria","",""
"Capital"," Casa de boneca","",""
"Capital"," Casador de impedancia","",""
"Capital"," Case para cd player dj","",""
"Capital"," Case para contrabaixo","",""
"Capital"," Case para guitarra","",""
"Capital"," Case para mesa de som","",""
"Capital"," Case para perifericos","",""
"Capital"," Case para teclado","",""
"Capital"," Case para timpano","",""
"Capital"," Casinha","",""
"Capital"," Casinha infantil","",""
"Capital"," Castical","",""
"Capital"," Catraca","",""
"Capital"," Catraca para tubos de ferro","",""
"Capital"," Cavalete","",""
"Capital"," Cavalete de apoio","",""
"Capital"," Cavalete de madeira","",""
"Capital"," Cavalete para blocao","",""
"Capital"," Cavalete para cartazes","",""
"Capital"," Cavalete para costura","",""
"Capital"," Cavalete para desenho","",""
"Capital"," Cavalete para flanelografo","",""
"Capital"," Cavalete para flip chart","",""
"Capital"," Cavalete para imantografos","",""
"Capital"," Cavalete para pintura","",""
"Capital"," Cavalete para prancheta","",""
"Capital"," Cavalete para tear","",""
"Capital"," Cavalete para urna funeraria","",""
"Capital"," Cavalo com alcas","",""
"Capital"," Cavalo de pau","",""
"Capital"," Cavalo olimpico","",""
"Capital"," Cavalo para salto","",""
"Capital"," Cavalo thunder","",""
"Capital"," Cavaquinho","",""
"Capital"," Cd player","",""
"Capital"," Cd player para dj","",""
"Capital"," Cenario para fantoches","",""
"Capital"," Central de gases medicinais","",""
"Capital"," Central de monitoramento","",""
"Capital"," Central de monitorizacao fisiologica","",""
"Capital"," Central de monitorizacao multiparametrico","",""
"Capital"," Central p/interfones","",""
"Capital"," Central para mesa de iluminacao","",""
"Capital"," Central telefonica","",""
"Capital"," Central telefonica ks","",""
"Capital"," Central telefonica pabx","",""
"Capital"," Centrifuga","",""
"Capital"," Centrifuga sorologica","",""
"Capital"," Centrifugador","",""
"Capital"," Centrifugador de frutas","",""
"Capital"," Centrifugador microhematocrito","",""
"Capital"," Centrifugadora","",""
"Capital"," Centrifugadora de roupas","",""
"Capital"," Centrimicro para microhematocrito","",""
"Capital"," Ceratometro","",""
"Capital"," Cestao","",""
"Capital"," Cesto alto","",""
"Capital"," Cesto de inspecao","",""
"Capital"," Chancela","",""
"Capital"," Chapa bifeteira","",""
"Capital"," Chapeira para cartao de ponto","",""
"Capital"," Chassis de trolete","",""
"Capital"," Chave de impacto","",""
"Capital"," Chaveador eletronico","",""
"Capital"," Chaveiro de madeira","",""
"Capital"," Chiqueirinho","",""
"Capital"," Cilindro com suporte","",""
"Capital"," Cilindro ou botijão para gás de cozinha","",""
"Capital"," Cilindro para massa","",""
"Capital"," Cilindro para mergulho","",""
"Capital"," Cintel","",""
"Capital"," Circulador de ar","",""
"Capital"," Circulador de ar e aquecedor","",""
"Capital"," Clarinete","",""
"Capital"," Climatizador de ar","",""
"Capital"," Clinometro","",""
"Capital"," Clorimetro dpd","",""
"Capital"," Coagulometro","",""
"Capital"," Cofre","",""
"Capital"," Coifa","",""
"Capital"," Coladeira de filme","",""
"Capital"," Coletor compactador","",""
"Capital"," Coletor de dados","",""
"Capital"," Coletor de dados para gps","",""
"Capital"," Coletor de lixo","",""
"Capital"," Coletor de oleo","",""
"Capital"," Coletor de roupa hamper","",""
"Capital"," Colocador de ilhoes","",""
"Capital"," Colocadora de espirais","",""
"Capital"," Colposcopio","",""
"Capital"," Colpovirgoscopio","",""
"Capital"," Coluna de madeira","",""
"Capital"," Coluna pantografica","",""
"Capital"," Coluna para aparelho oftalmologico","",""
"Capital"," Coluna para raio x","",""
"Capital"," Coluna para refrator","",""
"Capital"," Comando de graxa para abastecimento","",""
"Capital"," Comoda","",""
"Capital"," Compact disc","",""
"Capital"," Comparador colorimetro","",""
"Capital"," Compressor de ar","",""
"Capital"," Compressor de audio","",""
"Capital"," Compressor de voz","",""
"Capital"," Compressor limitador de audio","",""
"Capital"," Compressor multicom","",""
"Capital"," Compressor odontologico","",""
"Capital"," Compressor radial","",""
"Capital"," Comutador para micro e impressora","",""
"Capital"," Condensador remoto para ar condicionado","",""
"Capital"," Conj.completo p/abastecimento de oleo diesel","",""
"Capital"," Conjunto autonomo","",""
"Capital"," Conjunto de lixeiras","",""
"Capital"," Conjunto de longarinas","",""
"Capital"," Conjunto de mesa","",""
"Capital"," Conjunto de percussao","",""
"Capital"," Conjunto de preparacao de ar","",""
"Capital"," Conjunto de regulador para mergulho","",""
"Capital"," Conjunto de retinoscopio e oftalmoscopio","",""
"Capital"," Conjunto de sinalizacao acustico visual","",""
"Capital"," Conjunto de sinalzacao","",""
"Capital"," Conjunto de solda","",""
"Capital"," Conjunto de solda a oxiacetileno","",""
"Capital"," Conjunto diesel para solda eletrica","",""
"Capital"," Conjunto lubrefil","",""
"Capital"," Conjunto olimpico","",""
"Capital"," Conjunto para salto em altura","",""
"Capital"," Console de audio","",""
"Capital"," Console para central de operacoes","",""
"Capital"," Consolete de comando remoto","",""
"Capital"," Contador de celulas","",""
"Capital"," Container","",""
"Capital"," Contra angulo","",""
"Capital"," Contra baixo","",""
"Capital"," Controlador","",""
"Capital"," Controlador de acesso","",""
"Capital"," Controlador de cameras","",""
"Capital"," Controlador de ganho","",""
"Capital"," Controlador de semaforo","",""
"Capital"," Controlador de slide","",""
"Capital"," Controle automatico de tempo","",""
"Capital"," Conversor de energia","",""
"Capital"," Conversor de midia","",""
"Capital"," Conversor de solda","",""
"Capital"," Conversor de video digital","",""
"Capital"," Conversor otico","",""
"Capital"," Conversor sincrono","",""
"Capital"," Coordenatografo","",""
"Capital"," Copiadora","",""
"Capital"," Copiadora compacta","",""
"Capital"," Corneta","",""
"Capital"," Corneta de som","",""
"Capital"," Corneta em fa","",""
"Capital"," Corneta em sib","",""
"Capital"," Cornetao","",""
"Capital"," Cornetas difusora","",""
"Capital"," Cornetin","",""
"Capital"," Cortadeira de papel","",""
"Capital"," Cortadeira eletrica","",""
"Capital"," Cortadeira manual","",""
"Capital"," Cortador de amostras","",""
"Capital"," Cortador de chapa","",""
"Capital"," Cortador de ferro","",""
"Capital"," Cortador de frios","",""
"Capital"," Cortador de grama","",""
"Capital"," Cortador de legumes","",""
"Capital"," Cortador de piso","",""
"Capital"," Cortadora de tecidos","",""
"Capital"," Costotomo","",""
"Capital"," Criado mudo","",""
"Capital"," Criocauterio ginecologico","",""
"Capital"," Cristaleira","",""
"Capital"," Cronometro","",""
"Capital"," Crossover","",""
"Capital"," Crucifixo","",""
"Capital"," Cuica","",""
"Capital"," Cultivador motorizado","",""
"Capital"," Curvador","",""
"Capital"," Curvimetro","",""
"Capital"," Dardo","",""
"Capital"," Decibelimetro","",""
"Capital"," Deck de rolo","",""
